"","aircraft","dep_time","est_arr_time","flight_no","origin"
"578","A319","Sat 06:34PM","Sat 07:27PM"," AAL2816","Ignacio Agramonte Int'l (CMW / MUCM)"
"592","DC10","Sat 04:28PM","Sat 07:17PM"," FDX530","Memphis Intl (KMEM)"
"594","A319","Sat 03:39PM","Sat 07:13PM"," UAL2081","Chicago O'Hare Intl (KORD)"
"596","","Sat 02:58PM","Sat 07:04PM"," LET7283","Lic. Adolfo Lopez Mateos Int'l (TLC / MMTO)"
"603","B738","Sat 06:36PM","Sat 07:16PM"," AAL2750","Abel Santa Maria (SNU / MUSC)"
"606","B734","Sat 06:25PM","Sat 07:03PM"," SWQ513","Abel Santa Maria (SNU / MUSC)"
"617","A319","Sat 02:47PM","Sat 06:34PM"," AAL1031","Lic. Benito Juarez Int'l (MEX / MMMX)"
"621","B763","Sat 03:24PM","Sat 06:13PM"," FDX303","Memphis Intl (KMEM)"
"624","E75L","Sat 04:08PM","Sat 06:39PM"," RPA4432","New Orleans Intl (KMSY)"
"637","A319","Sat 01:42PM","Sat 05:48PM"," DAL1525","Minneapolis/St Paul Intl (KMSP)"
"641","A321","Sat 02:05PM","Sat 05:37PM"," AAL335","Chicago O'Hare Intl (KORD)"
"642","B752","Sat 02:46PM","Sat 06:05PM"," AAL2239","Dallas-Fort Worth Intl (KDFW)"
"643","A320","Sat 02:12PM","Sat 06:02PM"," AIJ5960","Lic. Benito Juarez Int'l (MEX / MMMX)"
"647","B734","Sat 05:13PM","Sat 05:46PM"," SWQ523","Ignacio Agramonte Int'l (CMW / MUCM)"
"658","A319","Sat 01:04PM","Sat 05:14PM"," AAL1955","Minneapolis/St Paul Intl (KMSP)"
"666","E75L","Sat 01:38PM","Sat 05:19PM"," RPA4519","Kansas City Intl (KMCI)"
"679","B752","Sat 01:13PM","Sat 04:40PM"," AAL2025","Dallas-Fort Worth Intl (KDFW)"
"685","B734","Sat 04:09PM","Sat 04:47PM"," SWQ3174","Frank Pais (HOG / MUHG)"
"707","B738","Sat 12:23PM","Sat 04:13PM"," AMX422","Lic. Benito Juarez Int'l (MEX / MMMX)"
"713","B738","Sat 12:43PM","Sat 03:58PM"," AAL797","Dallas-Fort Worth Intl (KDFW)"
"716","E145","Sat 12:46PM","Sat 03:50PM"," ENY4170","Memphis Intl (KMEM)"
"727","B737","Sat 12:46PM","Sat 03:43PM"," UAL225","Houston Bush Int'ctl (KIAH)"
"730","E75L","Sat 12:18PM","Sat 03:31PM"," ASH6276","Houston Bush Int'ctl (KIAH)"
"731","B738","Sat 12:17PM","Sat 03:31PM"," AAL1614","Houston Bush Int'ctl (KIAH)"
"733","B734","Sat 02:49PM","Sat 03:26PM"," SWQ553","Juan Gualberto Gomez Int'l (VRA / MUVR)"
"737","E75L","Sat 12:40PM","Sat 03:16PM"," RPA4438","Manuel Crescencio Rejon Int'l (MID / MMMD)"
"745","E75L","Sat 12:00PM","Sat 03:21PM"," RPA4368","Austin-Bergstrom Intl (KAUS)"
"765","A319","Sat 11:54AM","Sat 02:52PM"," AAL2069","New Orleans Intl (KMSY)"
"792","A319","Sat 09:13AM","Sat 01:20PM"," DAL1936","Minneapolis/St Paul Intl (KMSP)"
"793","B738","Sat 09:43AM","Sat 01:13PM"," AAL1438","Chicago O'Hare Intl (KORD)"
"796","E170","Sat 10:04AM","Sat 12:52PM"," RPA4271","Pensacola Intl (KPNS)"
"800","A319","Sat 12:04PM","Sat 12:37PM"," AAL2742","Juan Gualberto Gomez Int'l (VRA / MUVR)"
"806","B734","Sat 12:15PM","Sat 12:49PM"," SWQ751","Frank Pais (HOG / MUHG)"
"811","A320","Sat 08:43AM","Sat 12:29PM"," VOI854","Lic. Benito Juarez Int'l (MEX / MMMX)"
"814","A320","Sat 08:26AM","Sat 12:12PM"," AIJ2960","Lic. Benito Juarez Int'l (MEX / MMMX)"
"833","B738","Sat 07:28AM","Sat 11:20AM"," AMX412","Lic. Benito Juarez Int'l (MEX / MMMX)"
"842","B772","Sat 08:09AM","Sat 11:20AM"," AAL2386","Dallas-Fort Worth Intl (KDFW)"
"851","A321","Sat 07:24AM","Sat 10:54AM"," AAL2507","Chicago O'Hare Intl (KORD)"
"853","E75L","Sat 07:34AM","Sat 10:45AM"," ASH6059","Houston Bush Int'ctl (KIAH)"
"856","A319","Sat 07:23AM","Sat 10:27AM"," AAL1841","Houston Bush Int'ctl (KIAH)"
"862","E75L","Sat 07:03AM","Sat 10:46AM"," RPA4465","General Mariano Escobedo Int'l (MTY / MMMY)"
"868","A319","Sat 06:37AM","Sat 10:17AM"," AAL1498","Lic. Benito Juarez Int'l (MEX / MMMX)"
"870","B738","Sat 07:32AM","Sat 10:12AM"," AAL2701","New Orleans Intl (KMSY)"
"875","E75L","Sat 06:04AM","Sat 09:53AM"," RPA4695","Kansas City Intl (KMCI)"
"876","B738","Sat 06:21AM","Sat 09:50AM"," AAL2498","Chicago O'Hare Intl (KORD)"
"881","E75L","Sat 06:04AM","Sat 10:04AM"," RPA4608","Minneapolis/St Paul Intl (KMSP)"
"882","B738","Sat 07:15AM","Sat 10:02AM"," AAL1770","Nashville Intl (KBNA)"
"890","A321","Sat 06:12AM","Sat 09:27AM"," AAL2438","Dallas-Fort Worth Intl (KDFW)"
"891","A319","Sat 05:58AM","Sat 09:25AM"," AAL1604","San Antonio Intl (KSAT)"
"894","B738","Sat 05:51AM","Sat 09:21AM"," AAL1411","Chicago O'Hare Intl (KORD)"
"895","B738","Sat 08:35AM","Sat 09:18AM"," AAL351","Abel Santa Maria (SNU / MUSC)"
"896","E170","Sat 06:16AM","Sat 09:17AM"," RPA4342","Houston Bush Int'ctl (KIAH)"
"898","A319","Sat 05:47AM","Sat 09:13AM"," AAL1593","Austin-Bergstrom Intl (KAUS)"
"910","A319","Sat 06:20AM","Sat 09:08AM"," AAL159","New Orleans Intl (KMSY)"
"911","E75L","Sat 06:11AM","Sat 09:07AM"," RPA4422","Memphis Intl (KMEM)"
"913","A319","Sat 05:46AM","Sat 08:57AM"," AAL944","St Louis Lambert Intl (KSTL)"
"917","E145","Sat 06:07AM","Sat 08:46AM"," ENY3380","Birmingham-Shuttlesworth Intl (KBHM)"
"929","B738","Sat 05:46AM","Sat 08:35AM"," AAL2831","Nashville Intl (KBNA)"
"934","A321","Sat 05:07AM","Sat 08:20AM"," AAL1042","Dallas-Fort Worth Intl (KDFW)"
"941","E145","Sat 06:03AM","Sat 08:25AM"," ENY3508","Pensacola Intl (KPNS)"
"961","A30B","Sat 04:45AM","Sat 07:20AM"," TNO270","Manuel Crescencio Rejon Int'l (MID / MMMD)"
"970","B763","Sat 03:59AM","Sat 06:50AM"," FDX104","Memphis Intl (KMEM)"
"973","B763","Sat 03:32AM","Sat 06:30AM"," FDX1461","Memphis Intl (KMEM)"
"1009","B763","Fri 11:40PM","Sat 02:37AM"," GTI3525","Houston Bush Int'ctl (KIAH)"
"1011","B738","Fri 10:27PM","Sat 01:46AM"," AAL2720","Dallas-Fort Worth Intl (KDFW)"
"1012","A320","Fri 10:26PM","Sat 01:23AM"," UAL2749","Houston Bush Int'ctl (KIAH)"
"1026","B738","Fri 11:31PM","Sat 12:08AM"," AAL2750","Abel Santa Maria (SNU / MUSC)"
"1027","B738","Fri 09:00PM","Sat 12:02AM"," UAL2146","Houston Bush Int'ctl (KIAH)"
"1028","B748","Fri 09:08PM","Fri 11:48PM"," GTI612","Huntsville Intl (KHSV)"
"1029","B738","Fri 07:54PM","Fri 11:46PM"," AMX428","Lic. Benito Juarez Int'l (MEX / MMMX)"
"3","A333","Sun 05:08PM","Sun 07:55PM"," IBE6117","Barajas Int'l (MAD / LEMD)"
"22","A333","Sun 05:08PM","Sun 07:55PM"," IBE6117","Barajas Int'l (MAD / LEMD)"
"64","A333","Sun 02:31PM","Sun 06:25PM"," SWR64","Zurich (Kloten) (ZRH / LSZH)"
"76","B789","Sun 03:52PM","Sun 06:19PM"," AEA97","Barajas Int'l (MAD / LEMD)"
"102","A332","Sun 02:11PM","Sun 05:31PM"," TPA4046","Brussels (BRU / EBBR)"
"108","A332","Sun 01:36PM","Sun 05:40PM"," ISS969","Malpensa Int'l (MXP / LIMC)"
"122","B77W","Sun 02:15PM","Sun 05:00PM"," AFR90","Charles de Gaulle/Roissy (CDG / LFPG)"
"137","A333","Sun 01:21PM","Sun 04:42PM"," EWG5MP","Dusseldorf Int'l (DUS / EDDL)"
"175","A332","Sun 10:55AM","Sun 03:37PM"," AZA630","Leonardo da Vinci Int'l (Fiumicino Int'l) (FCO / LIRF)"
"186","A333","Sun 12:24PM","Sun 03:04PM"," IBE6123","Barajas Int'l (MAD / LEMD)"
"197","B763","Sun 10:20AM","Sun 03:02PM"," AUA97","Vienna Int'l (Schwechat) (VIE / LOWW)"
"209","A388","Sun 11:22AM","Sun 02:47PM"," DLH462","Frankfurt Int'l (FRA / EDDF)"
"220","B772","Sun 11:03AM","Sun 02:15PM"," AAL63","Charles de Gaulle/Roissy (CDG / LFPG)"
"224","GLEX","Sun 09:10AM","Sun 02:00PM"," 9H-VJQ","Galileo Galilei (Pisa Int'l) (PSA / LIRP)"
"240","B772","Sun 09:53AM","Sun 01:38PM"," AAL207","Malpensa Int'l (MXP / LIMC)"
"248","B772","Sun 11:20AM","Sun 01:44PM"," AAL69","Barajas Int'l (MAD / LEMD)"
"268","B772","Sun 09:48AM","Sun 12:56PM"," AAL113","Barcelona Int'l (BCN / LEBL)"
"474","B77L","Sun 12:45AM","Sun 03:05AM"," THY6437","Barajas Int'l (MAD / LEMD)"
"576","A333","Sat 05:16PM","Sat 07:41PM"," IBE6117","Barajas Int'l (MAD / LEMD)"
"629","B77L","Sat 03:52PM","Sat 06:18PM"," ETH3516","Zaragoza (ZAZ / LEZG)"
"635","B789","Sat 03:51PM","Sat 05:57PM"," AEA97","Barajas Int'l (MAD / LEMD)"
"638","A333","Sat 01:50PM","Sat 05:45PM"," SWR64","Zurich (Kloten) (ZRH / LSZH)"
"649","A332","Sat 02:01PM","Sat 05:43PM"," ISS969","Malpensa Int'l (MXP / LIMC)"
"657","B77W","Sat 02:23PM","Sat 05:19PM"," AFR90","Charles de Gaulle/Roissy (CDG / LFPG)"
"676","B788","Sat 12:21PM","Sat 04:46PM"," LOT29","Warsaw Frederic Chopin (WAW / EPWA)"
"688","A333","Sat 12:44PM","Sat 04:42PM"," EWG5MP","Dusseldorf Int'l (DUS / EDDL)"
"695","A333","Sat 12:46PM","Sat 04:23PM"," CRL918","Paris Orly (ORY / LFPO)"
"743","A388","Sat 11:28AM","Sat 03:25PM"," DLH462","Frankfurt Int'l (FRA / EDDF)"
"749","A332","Sat 11:05AM","Sat 03:06PM"," AZA630","Leonardo da Vinci Int'l (Fiumicino Int'l) (FCO / LIRF)"
"756","B763","Sat 10:17AM","Sat 02:51PM"," AUA97","Vienna Int'l (Schwechat) (VIE / LOWW)"
"758","A333","Sat 12:20PM","Sat 02:45PM"," IBE6123","Barajas Int'l (MAD / LEMD)"
"780","B788","Sat 10:00AM","Sat 01:36PM"," JAF251","Brussels (BRU / EBBR)"
"786","B772","Sat 10:58AM","Sat 02:06PM"," AAL63","Charles de Gaulle/Roissy (CDG / LFPG)"
"795","B772","Sat 09:38AM","Sat 12:54PM"," AAL207","Malpensa Int'l (MXP / LIMC)"
"805","B744","Sat 09:52AM","Sat 12:52PM"," MPH6161","Amsterdam Schiphol (AMS / EHAM)"
"812","B772","Sat 09:57AM","Sat 12:23PM"," AAL113","Barcelona Int'l (BCN / LEBL)"
"822","B772","Sat 10:19AM","Sat 12:20PM"," AAL69","Barajas Int'l (MAD / LEMD)"
"1","B735","Sun 07:29PM","Sun 08:01PM"," BHS229","Lynden Pindling Int'l (Nassau) (NAS / MYNN)"
"2","B763","Sun 05:43PM","Sun 07:57PM"," AAL2595","Philadelphia Intl (KPHL)"
"6","A321","Sun 04:55PM","Sun 07:29PM"," ROU1642","Toronto Pearson Int'l (CYYZ)"
"9","E145","Sun 06:53PM","Sun 07:19PM"," ENY4174","Grand Bahama Int'l (Freeport Int'l) (FPO / MYGF)"
"11","A319","Sun 05:56PM","Sun 07:59PM"," AAL1803","Reagan National (KDCA)"
"13","B738","Sun 07:15PM","Sun 07:50PM"," AAL2482","Jose Marti Int'l (HAV / MUHA)"
"14","E145","Sun 05:37PM","Sun 07:36PM"," ENY3367","Norfolk Intl (KORF)"
"20","B735","Sun 07:29PM","Sun 08:01PM"," BHS229","Lynden Pindling Int'l (Nassau) (NAS / MYNN)"
"21","B763","Sun 05:43PM","Sun 07:57PM"," AAL2595","Philadelphia Intl (KPHL)"
"25","A321","Sun 04:55PM","Sun 07:29PM"," ROU1642","Toronto Pearson Int'l (CYYZ)"
"28","E145","Sun 06:53PM","Sun 07:19PM"," ENY4174","Grand Bahama Int'l (Freeport Int'l) (FPO / MYGF)"
"30","A319","Sun 05:56PM","Sun 07:59PM"," AAL1803","Reagan National (KDCA)"
"32","B738","Sun 07:15PM","Sun 07:50PM"," AAL2482","Jose Marti Int'l (HAV / MUHA)"
"33","E145","Sun 05:37PM","Sun 07:36PM"," ENY3367","Norfolk Intl (KORF)"
"45","A319","Sun 06:06PM","Sun 06:57PM"," AAL669","Tampa Intl (KTPA)"
"47","A320","Sun 04:03PM","Sun 06:49PM"," DAL1727","LaGuardia (KLGA)"
"53","B752","Sun 06:06PM","Sun 07:02PM"," UPS1332","Jacksonville Intl (KJAX)"
"56","E145","Sun 05:42PM","Sun 06:50PM"," ENY3359","Savannah/Hilton Head Intl (KSAV)"
"59","A320","Sun 05:22PM","Sun 06:44PM"," DAL1956","Hartsfield-Jackson Intl (KATL)"
"67","B763","Sun 04:12PM","Sun 06:18PM"," UPS400","Louisville Muhammad Ali International Airport (KSDF)"
"68","B738","Sun 06:01PM","Sun 06:44PM"," AAL838","Jose Marti Int'l (HAV / MUHA)"
"69","C56X","Sun 06:43PM","07:57PM (?)"," N590QS","Miami Intl (KMIA)"
"71","A321","Sun 04:30PM","Sun 06:37PM"," AAL990","Reagan National (KDCA)"
"74","CL35","Sun 05:40PM","Sun 06:24PM"," EJA764","Clearwater Intl (KPIE)"
"80","E75L","Sun 05:36PM","Sun 06:14PM"," RPA4348","Lynden Pindling Int'l (Nassau) (NAS / MYNN)"
"81","C56X","Sun 03:51PM","Sun 06:12PM"," EJA669","Washington Dulles Intl (KIAD)"
"87","A319","Sun 03:45PM","Sun 05:48PM"," AAL1989","Reagan National (KDCA)"
"90","A321","Sun 04:00PM","Sun 06:14PM"," AAL2571","Philadelphia Intl (KPHL)"
"92","A320","Sun 04:38PM","Sun 06:05PM"," DAL2025","Hartsfield-Jackson Intl (KATL)"
"94","E170","Sun 04:34PM","Sun 06:00PM"," RPA4407","Hartsfield-Jackson Intl (KATL)"
"97","A319","Sun 03:45PM","Sun 05:48PM"," AAL1989","Reagan National (KDCA)"
"100","E75L","Sun 04:43PM","Sun 05:36PM"," RPA4673","Exuma Int'l (GGT / MYEF)"
"101","E145","Sun 04:21PM","Sun 05:34PM"," ENY3861","Tallahassee Intl (KTLH)"
"103","B738","Sun 04:02PM","Sun 05:28PM"," AAL1527","Providenciales Int'l (PLS / MBPV)"
"109","E145","Sun 04:46PM","Sun 05:38PM"," ENY3721","Gainesville Rgnl (KGNV)"
"112","B763","Sun 03:26PM","Sun 05:30PM"," GTI3016","Cincinnati/Northern Kentucky International Airport (KCVG)"
"114","LJ60","Sun 05:11PM","Sun 05:26PM"," HPJ296","Fort Lauderdale Executive (KFXE)"
"117","E145","Sun 02:57PM","Sun 05:18PM"," ENY3334","Pittsburgh Intl (KPIT)"
"125","B763","Sun 02:51PM","Sun 04:48PM"," UPS1330","Louisville Muhammad Ali International Airport (KSDF)"
"126","B738","Sun 02:11PM","Sun 04:43PM"," AAL2669","LaGuardia (KLGA)"
"128","E75S","Sun 04:31PM","Sun 05:12PM"," RPA4692","Lynden Pindling Int'l (Nassau) (NAS / MYNN)"
"130","A321","Sun 03:31PM","Sun 05:06PM"," AAL1609","Charlotte/Douglas Intl (KCLT)"
"140","C56X","Sun 03:53PM","Sun 04:34PM"," N614QS","Lynden Pindling Int'l (Nassau) (NAS / MYNN)"
"142","E145","Sun 03:10PM","Sun 04:28PM"," ENY4233","Charleston Intl/AFB (KCHS)"
"143","B734","Sun 03:52PM","Sun 04:24PM"," SWQ3142","Jose Marti Int'l (HAV / MUHA)"
"147","","Sun 04:00PM","Sun 04:40PM"," SWQ704","Jose Marti Int'l (HAV / MUHA)"
"148","E145","Sun 02:11PM","Sun 04:36PM"," ENY3677","Cleveland-Hopkins Intl (KCLE)"
"149","E75L","Sun 03:38PM","Sun 04:34PM"," RPA4629","Jacksonville Intl (KJAX)"
"153","A321","Sun 03:44PM","Sun 04:24PM"," AAL1362","Orlando Intl (KMCO)"
"155","B738","Sun 02:02PM","Sun 04:18PM"," AAL1114","Philadelphia Intl (KPHL)"
"156","B738","Sun 01:19PM","Sun 04:13PM"," AAL1099","Boston Logan Intl (KBOS)"
"157","B738","Sun 01:19PM","Sun 04:13PM"," AAL1099","Boston Logan Intl (KBOS)"
"159","B738","Sun 02:20PM","Sun 03:59PM"," AAL903","Port-au-Prince Intl (PAP / MTPP)"
"165","E75L","Sun 02:58PM","Sun 03:37PM"," RPA4458","Lynden Pindling Int'l (Nassau) (NAS / MYNN)"
"168","B735","Sun 03:23PM","Sun 04:01PM"," BHS227","Lynden Pindling Int'l (Nassau) (NAS / MYNN)"
"169","B763","Sun 01:23PM","Sun 03:58PM"," AAL291","John F Kennedy Intl (KJFK)"
"170","MD88","Sun 02:28PM","Sun 03:53PM"," DAL1224","Hartsfield-Jackson Intl (KATL)"
"172","B738","Sun 02:15PM","Sun 03:47PM"," AAL2732","Cap-Haitien Int'l (CAP / MTCH)"
"176","E145","Sun 01:13PM","Sun 03:33PM"," ENY3483","Indianapolis Intl (KIND)"
"177","E145","Sun 01:13PM","Sun 03:33PM"," ENY3483","Indianapolis Intl (KIND)"
"180","A319","Sun 01:02PM","Sun 03:28PM"," DAL2535","Detroit Metro Wayne Co (KDTW)"
"185","B738","Sun 12:43PM","Sun 03:08PM"," AAL1601","LaGuardia (KLGA)"
"187","A319","Sun 12:47PM","Sun 03:31PM"," AAL2676","Toronto Pearson Int'l (CYYZ)"
"188","A320","Sun 01:03PM","Sun 03:30PM"," DAL1469","LaGuardia (KLGA)"
"199","MD88","Sun 01:27PM","Sun 02:52PM"," DAL2373","Hartsfield-Jackson Intl (KATL)"
"200","A319","Sun 12:13PM","Sun 02:46PM"," UAL1415","Newark Liberty Intl (KEWR)"
"202","C172","Sun 01:15PM","Sun 02:39PM"," N62568","Key West Intl (KEYW)"
"203","B738","Sun 12:24PM","Sun 02:34PM"," AAL1048","Reagan National (KDCA)"
"206","E145","Sun 12:16PM","Sun 02:27PM"," ENY459G","Cincinnati/Northern Kentucky International Airport (KCVG)"
"210","E75L","Sun 01:16PM","Sun 02:45PM"," RPA4385","Providenciales Int'l (PLS / MBPV)"
"211","E75L","Sun 02:00PM","Sun 02:40PM"," RPA4433","Lynden Pindling Int'l (Nassau) (NAS / MYNN)"
"212","B738","Sun 02:01PM","Sun 02:36PM"," AAL9665","Jose Marti Int'l (HAV / MUHA)"
"216","E145","Sun 12:13PM","Sun 02:26PM"," ENY3332","John Glenn Columbus Intl Airport (KCMH)"
"217","E145","Sun 12:13PM","Sun 02:26PM"," ENY3332","John Glenn Columbus Intl Airport (KCMH)"
"218","B738","Sun 01:44PM","Sun 02:22PM"," AAL2706","Jose Marti Int'l (HAV / MUHA)"
"221","A320","Sun 11:40AM","Sun 02:11PM"," DAL2175","John F Kennedy Intl (KJFK)"
"223","B738","Sun 01:26PM","Sun 02:03PM"," AAL2834","Lynden Pindling Int'l (Nassau) (NAS / MYNN)"
"225","A320","Sun 12:33PM","Sun 01:58PM"," FFT1514","Hartsfield-Jackson Intl (KATL)"
"227","E145","Sun 12:15PM","Sun 02:24PM"," ENY3459","Cincinnati/Northern Kentucky International Airport (KCVG)"
"228","B738","Sun 01:44PM","Sun 02:22PM"," AAL260","Orlando Intl (KMCO)"
"229","C56X","Sun 11:31AM","Sun 02:20PM"," EJA667","Buffalo Niagara Intl (KBUF)"
"230","B763","Sun 11:54AM","Sun 02:13PM"," AAL1623","Philadelphia Intl (KPHL)"
"231","A319","Sun 12:47PM","Sun 02:09PM"," AAL2828","Hartsfield-Jackson Intl (KATL)"
"234","A319","Sun 01:23PM","Sun 01:59PM"," AAL2584","Tampa Intl (KTPA)"
"235","E75L","Sun 12:00PM","Sun 01:54PM"," RPA4384","Norfolk Intl (KORF)"
"236","B738","Sun 11:18AM","Sun 01:52PM"," AAL1571","John F Kennedy Intl (KJFK)"
"239","A319","Sun 12:06PM","Sun 01:43PM"," AAL2397","Raleigh-Durham Intl (KRDU)"
"242","E75L","Sun 12:46PM","Sun 01:31PM"," RPA4387","Exuma Int'l (GGT / MYEF)"
"243","A321","Sun 11:06AM","Sun 01:26PM"," AAL2512","Detroit Metro Wayne Co (KDTW)"
"244","E145","Sun 12:23PM","Sun 01:19PM"," ENY4181","Jacksonville Intl (KJAX)"
"249","MD90","Sun 12:09PM","Sun 01:41PM"," DAL1795","Hartsfield-Jackson Intl (KATL)"
"251","A319","Sun 11:05AM","Sun 01:32PM"," AAL1060","Newark Liberty Intl (KEWR)"
"252","E145","Sun 12:14PM","Sun 01:30PM"," ENY3941","Charleston Intl/AFB (KCHS)"
"254","E75L","Sun 10:48AM","Sun 01:16PM"," RPA4517","LaGuardia (KLGA)"
"255","C68A","Sun 12:31PM","Sun 01:13PM"," EJA571","Orlando Sanford Intl (KSFB)"
"256","E145","Sun 12:31PM","Sun 01:10PM"," ENY3726","North Eleuthera (ELH / MYEH)"
"263","E145","Sun 12:12PM","Sun 12:41PM"," ENY3489","Grand Bahama Int'l (Freeport Int'l) (FPO / MYGF)"
"267","E75L","Sun 12:22PM","Sun 01:05PM"," RPA4409","Marsh Harbour (MHH / MYAM)"
"269","A321","Sun 10:14AM","Sun 12:47PM"," DAL838","LaGuardia (KLGA)"
"272","B738","Sun 12:01PM","Sun 12:42PM"," AAL1334","Jose Marti Int'l (HAV / MUHA)"
"273","E75L","Sun 12:16PM","Sun 12:39PM"," RPA4558","Key West Intl (KEYW)"
"274","A319","Sun 10:24AM","Sun 12:30PM"," AAL2278","Reagan National (KDCA)"
"278","B735","Sun 11:47AM","Sun 12:20PM"," BHS223","Lynden Pindling Int'l (Nassau) (NAS / MYNN)"
"282","A320","Sun 09:16AM","Sun 11:47AM"," ROU1640","Toronto Pearson Int'l (CYYZ)"
"283","B738","Sun 10:03AM","Sun 11:32AM"," AAL342","Charlotte/Douglas Intl (KCLT)"
"284","MD88","Sun 10:02AM","Sun 11:25AM"," DAL2405","Hartsfield-Jackson Intl (KATL)"
"289","A320","Sun 11:32AM","Sun 12:11PM"," DAL650","Jose Marti Int'l (HAV / MUHA)"
"291","C208","Sun 10:56AM","Sun 11:54AM"," GGT310","Congo Town (COX / MYAK)"
"293","A319","Sun 09:09AM","Sun 11:30AM"," DAL1829","Detroit Metro Wayne Co (KDTW)"
"295","E75L","Sun 10:35AM","Sun 11:18AM"," RPA4590","Lynden Pindling Int'l (Nassau) (NAS / MYNN)"
"297","B738","Sun 08:45AM","Sun 11:14AM"," AAL970","LaGuardia (KLGA)"
"298","B738","Sun 08:54AM","Sun 11:11AM"," AAL1533","Philadelphia Intl (KPHL)"
"299","A320","Sun 08:40AM","Sun 11:09AM"," DAL2190","John F Kennedy Intl (KJFK)"
"302","A319","Sun 09:31AM","Sun 10:56AM"," AAL2717","Hartsfield-Jackson Intl (KATL)"
"309","B738","Sun 08:37AM","Sun 11:07AM"," AAL1610","John F Kennedy Intl (KJFK)"
"310","A319","Sun 08:04AM","Sun 11:03AM"," ROU1650","Montreal-Trudeau (CYUL)"
"311","B738","Sun 08:01AM","Sun 10:57AM"," AAL1259","Boston Logan Intl (KBOS)"
"312","B738","Sun 10:16AM","Sun 10:55AM"," AAL838","Jose Marti Int'l (HAV / MUHA)"
"313","B738","Sun 09:17AM","Sun 10:51AM"," AAL1181","Port-au-Prince Intl (PAP / MTPP)"
"316","B738","Sun 09:17AM","Sun 10:51AM"," AAL1181","Port-au-Prince Intl (PAP / MTPP)"
"319","E145","Sun 09:45AM","Sun 10:41AM"," ENY3552","Jacksonville Intl (KJAX)"
"323","E145","Sun 08:09AM","Sun 10:25AM"," ENY4232","John Glenn Columbus Intl Airport (KCMH)"
"330","MD88","Sun 09:01AM","Sun 10:27AM"," DAL1987","Hartsfield-Jackson Intl (KATL)"
"335","","Sun 09:42AM","Sun 10:19AM"," SWQ3140","Jose Marti Int'l (HAV / MUHA)"
"336","","Sun 09:39AM","Sun 10:15AM"," SWQ702","Jose Marti Int'l (HAV / MUHA)"
"339","A319","Sun 07:52AM","Sun 10:01AM"," AAL1340","Reagan National (KDCA)"
"345","","Sun 07:06AM","Sun 10:16AM"," LTG8488","Miami Intl (KMIA)"
"346","B738","Sun 09:31AM","Sun 10:14AM"," AAL2678","Jose Marti Int'l (HAV / MUHA)"
"349","","Sun 09:21AM","Sun 09:56AM"," N700MF","Key West Intl (KEYW)"
"352","A320","Sun 07:22AM","Sun 09:49AM"," UAL1109","Newark Liberty Intl (KEWR)"
"353","E145","Sun 07:20AM","Sun 09:46AM"," ENY3530","Cleveland-Hopkins Intl (KCLE)"
"354","E145","Sun 08:15AM","Sun 09:45AM"," ENY3446","Greenville/Spartanburg Intl (KGSP)"
"355","B738","Sun 08:57AM","Sun 09:41AM"," AAL588","Orlando Intl (KMCO)"
"357","A319","Sun 06:40AM","Sun 09:36AM"," AAL2623","Boston Logan Intl (KBOS)"
"359","E75L","Sun 07:16AM","Sun 09:30AM"," RPA4711","Indianapolis Intl (KIND)"
"360","E75L","Sun 07:15AM","Sun 09:26AM"," RPA4653","Louisville Muhammad Ali International Airport (KSDF)"
"361","B738","Sun 06:16AM","Sun 09:22AM"," AAL1516","Montreal-Trudeau (CYUL)"
"362","B752","Sun 07:04AM","Sun 09:21AM"," AAL415","Philadelphia Intl (KPHL)"
"364","A321","Sun 07:12AM","Sun 09:42AM"," AAL1530","LaGuardia (KLGA)"
"365","C680","Sun 09:19AM","Sun 09:39AM"," EJA339","Palm Beach Intl (KPBI)"
"366","A320","Sun 07:07AM","Sun 09:38AM"," DAL1415","LaGuardia (KLGA)"
"367","E145","Sun 08:29AM","Sun 09:35AM"," ENY3663","Tallahassee Intl (KTLH)"
"368","E145","Sun 07:34AM","Sun 09:33AM"," ENY3937","Richmond Intl (KRIC)"
"370","B738","Sun 08:07AM","Sun 09:23AM"," AAL1338","Providenciales Int'l (PLS / MBPV)"
"371","B738","Sun 08:44AM","Sun 09:22AM"," AAL1118","Tampa Intl (KTPA)"
"372","A319","Sun 06:47AM","Sun 09:19AM"," AAL2510","LaGuardia (KLGA)"
"373","E145","Sun 07:33AM","Sun 09:18AM"," ENY3565","Piedmont Triad Intl (KGSO)"
"374","E145","Sun 07:33AM","Sun 09:18AM"," ENY3565","Piedmont Triad Intl (KGSO)"
"375","E75L","Sun 07:03AM","Sun 09:16AM"," RPA4612","Pittsburgh Intl (KPIT)"
"376","A319","Sun 06:32AM","Sun 09:14AM"," AAL2589","Toronto Pearson Int'l (CYYZ)"
"379","E145","Sun 07:07AM","Sun 09:06AM"," ENY4227","Norfolk Intl (KORF)"
"381","A321","Sun 06:29AM","Sun 09:01AM"," AAL2899","LaGuardia (KLGA)"
"382","PC12","Sun 08:30AM","Sun 08:59AM"," SUP977","Page Field (KFMY)"
"385","A319","Sun 07:51AM","Sun 09:14AM"," AAL2344","Hartsfield-Jackson Intl (KATL)"
